uptime_ms,accel_x,accel_y,gyro_z
21635,6.258,-0.976,-0.119
21737,5.688,-0.584,-0.101
21840,5.817,-0.622,-0.134
21942,5.554,-0.44,-0.319
22045,1.795,7.331,1.916
22238,-0.181,14.149,4.69
22341,0.502,7.79,0.159
22443,1.647,8.647,-2.816
22548,3.423,10.003,-0.339
22651,1.972,6.536,0.462
22753,2.346,9.62,-0.019
22856,3.27,9.787,-0.865
22960,3.691,13.278,-0.834
23063,3.576,8.973,-1.032
23165,3.366,8.81,0.451
23268,2.408,10.204,1.123
23373,2.059,9.533,1.637
23475,1.182,8.432,0.683
23578,1.388,8.418,-0.152
23680,2.537,10.635,-0.985
23787,3.428,10.956,-1.235
23923,2.767,7.968,0.076
24025,2.154,8.557,0.798
24128,2.509,10.596,0.792
24232,2.437,10.989,0.369
24335,1.719,8.638,0.111
24437,1.513,7.81,-0.123
24540,2.413,10.17,-1.101
24645,3.495,11.53,-0.574
24747,2.739,8.968,0.14
24850,2.264,9.476,0.517
24952,2.303,10.079,0.205
25057,2.226,10.601,-0.4
25159,2.537,9.332,0.234
25262,1.436,7.924,0.48
25364,2.815,11.468,-0.51
25469,3.165,11.98,-0.425
25572,2.451,8.671,-0.044
25674,1.814,7.939,0.046
25777,2.494,11.444,0.1
25884,3.007,12.1,0.527
26032,1.498,8.336,0.399
26134,1.958,9.845,-0.678
26237,3.217,11.626,-0.395
26342,2.03,8.236,0.461
26444,1.69,7.45,0.759
26547,2.102,10.984,0.727
26649,2.236,10.414,0.545
26754,2.413,8.609,-0.059
26856,3.442,10.323,0.018
26959,3.078,10.137,-0.475
27061,3.112,10.486,0.147
27166,2.044,10.347,0.619
27269,1.12,11.454,1.46
27371,-1.077,9.189,-2.106
27474,0.363,9.543,-4.718
27578,4.424,9.519,-1.438
27681,3.39,7.493,3.495
27783,2.154,14.667,7.291
27886,-2.078,11.995,3.413
27993,-2.949,8.221,-4.791
28154,3.878,14.868,-5.704
28256,4.539,6.177,0.836
28359,2.413,9.083,5.619
28463,1.848,15.083,5.771
28566,-2.159,9.983,0.516
28669,0.996,10.39,-4.986
28771,3.031,13.077,-4.577
28876,4.29,8.054,-0.839
28978,3.62,7.704,3.55
29081,1.24,11.655,4.231
29183,0.881,13.513,2.041
29288,-0.651,9.907,-3.93
29391,2.557,11.521,-4.713
29493,3.351,8.308,-1.563
29596,3.782,8.039,2.045
29700,2.384,11.693,4.502
29803,0.359,13.106,4.222
29906,-1.637,8.633,-1.865
30008,2.437,12.646,-6.288
30115,4.261,11.578,-3.242
30288,2.14,11.549,5.096
30391,1.379,13.982,5.322
30493,-2.312,8.456,-0.819
30598,1.019,10.927,-5.964
30701,3.811,11.827,-4.476
30803,4.228,7.402,-0.085
30906,2.638,10.228,4.396
31010,1.479,14.197,5.501
31113,-2.03,9.002,0.291
31215,-0.143,9.189,-5.412
31318,3.596,12.076,-4.386
31423,4.213,8.571,-0.089
31525,2.624,10.027,4.188
31628,0.876,11.779,3.739
31730,-0.852,8.705,-0.371
31835,2.159,10.242,-3.413
31938,3.332,9.572,-2.287
32040,3.347,8.394,0.977
32143,2.001,9.169,2.353
32250,1.455,8.997,0.974
32435,4.094,9.84,1.183
32538,3.098,8.48,1.131
32640,1.977,8.264,-0.633
32745,2.753,8.542,-2.033
32848,4.185,9.61,-1.048
32950,2.983,7.857,0.352
33053,3.055,8.58,1.135
33157,2.624,9.131,0.757
33260,2.432,8.178,0.134
33362,2.806,9.04,-0.637
33465,3.385,8.762,-0.858
33570,3.62,8.806,-0.393
33672,3.529,8.839,0.239
33775,3.107,8.437,0.621
33877,2.882,9.05,0.271
33982,2.743,8.494,-0.175
34084,3.155,8.207,-0.221
34187,3.409,8.537,0.006
34289,3.505,7.915,0.73
34396,3.62,9.38,0.477
34595,3.16,9.883,-1.188
34697,2.94,9.672,0.518
34800,1.546,9.62,-0.755
34904,1.623,8.542,-3.175
35007,3.845,9.902,-2.58
35109,4.908,8.149,2.477
35212,1.853,12.488,5.699
35317,0.799,12.454,3.626
35419,-1.733,7.106,-3.106
35522,2.231,12.718,-6.924
35624,4.405,11.027,-3.885
35729,4.821,7.13,1.841
35831,2.264,10.635,5.32
35934,2.255,15.035,5.707
36037,-1.359,9.361,0.531
36141,-0.229,8.614,-6.167
36244,3.486,14.126,-5.542
36346,4.323,9.414,-1.709
36449,3.61,7.843,3.64
36558,1.637,14.269,5.966
36769,0.047,8.791,-4.151
36871,2.887,12.406,-5.007
36974,3.845,9.246,-2.428
37078,4.031,7.292,2.054
37181,1.843,10.979,4.055
37283,1.479,11.942,3.373
37386,-0.694,8.475,-1.215
37491,2.293,10.29,-3.827
37593,3.237,10.141,-3.138
37696,3.758,7.824,0.099
37798,3.045,9.581,3.254
37903,1.446,11.444,3.252
38006,-0.014,9.102,0.691
38108,1.149,9.423,-2.982
38211,2.715,10.529,-3.395
38315,3.773,8.911,-1.188
38418,3.735,7.81,1.882
38520,2.513,10.826,3.81
38623,1.862,12.804,3.688
38730,-0.708,8.413,-1.418
38953,3.878,10.434,-3.816
39056,4.477,7.618,0.86
39158,2.312,10.199,4.042
39263,2.193,12.866,4.723
39366,-0.411,10.209,2.029
39468,-0.512,8.59,-3.507
39571,2.997,12.746,-5.56
39675,3.974,11.233,-2.608
39778,4.137,7.426,2.245
39881,2.331,10.477,4.753
39983,1.824,14.288,4.926
40088,-0.914,10.151,-0.303
40190,1.058,9.648,-5.869
40293,3.62,13.843,-4.706
40395,4.505,8.145,-0.759
40500,2.739,10.074,4.173
40603,1.795,13.311,5.215
40705,-0.713,9.926,2.198
40808,-0.804,8.422,-4.074
40915,3.572,13.254,-4.905
41151,3.146,9.227,3.337
41253,2.102,12.89,4.969
41356,-0.143,10.534,2.661
41461,-0.861,7.877,-3.194
41563,3.083,12.272,-4.852
41666,3.543,10.209,-2.944
41768,3.797,7.584,1.231
41873,2.375,9.715,3.757
41975,1.743,12.598,3.887
42078,-0.215,9.888,0.262
42180,0.919,9.394,-4.026
42285,2.973,11.645,-3.973
42388,4.022,8.767,-1.296
42490,3.811,7.747,2.554
42593,2.015,11.195,3.947
42697,0.507,11.851,3.157
42800,-1.034,7.412,-2.637
42903,2.758,11.276,-4.815
43005,3.634,10.434,-3.006
43112,4.036,7.68,1.133
43361,0.727,12.033,3.146
43463,-0.991,8.044,-2.497
43566,2.566,11.731,-5.171
43670,3.672,11.104,-3.14
43773,4.185,7.297,1.246
43876,2.513,11.324,4.285
43978,1.929,12.742,3.973
44083,-0.78,8.504,0.629
44185,0.387,9.198,-4.534
44288,3.428,12.517,-5.032
44390,4.276,9.289,-1.605
44495,3.447,8.523,2.968
44598,2.202,12.086,4.913
44700,0.636,11.846,3.271
44803,-1.115,8.533,-2.738
44907,2.767,11.861,-5.195
45010,3.533,11.07,-2.795
45112,3.572,7.556,1.032
45215,1.972,9.126,3.184
45322,0.785,9.797,1.228
45583,0.526,8.94,-0.616
45686,1.494,9.873,-2.343
45788,2.753,9.351,-1.962
45893,3.538,8.911,-0.378
45995,2.705,9.356,2.909
46098,1.532,11.272,3.822
46200,-0.143,10.558,1.643
46305,-0.277,9.725,-3.887
46408,3.107,11.817,-4.839
46510,4.103,9.074,-0.578
46613,3.055,8.796,3.202
46717,2.044,11.913,4.44
46820,0.469,12.847,3.33
46923,-1.608,7.599,-3.17
47025,2.743,12.354,-5.09
47130,3.629,10.75,-2.911
47232,4.098,7.47,2.014
47335,1.743,11.09,3.871
47437,1.527,11.128,3.075
47544,-0.818,9.873,0.779
47818,3.433,9.663,-2.146
47921,3.16,7.991,1.707
48023,1.867,10.596,3.305
48128,0.895,10.558,1.838
48230,1.278,9.179,-1.245
48333,3.093,11.051,-1.266
48436,2.303,8.092,0.657
48540,1.733,7.58,1.666
48643,1.527,7.963,0.119
48745,2.15,7.805,-0.03
48848,2.791,9.615,-0.319
48952,5.166,11.664,0.469
49055,4.956,8.059,0.961
49157,4.908,7.905,1.598
49260,6.363,5.918,2.172
49365,7.029,3.921,2.337
49467,9.375,0.507,1.196
49570,8.408,-0.656,0.026
49672,7.331,-0.761,-2.359
49779,7.594,-1.35,-0.249
50066,5.224,-0.919,0.168
50168,5.061,-0.766,0.809
50271,4.074,-0.426,2.68
50375,4.18,-1.316,1.464
50478,2.853,-1.508,0.687
50580,3.557,-1.608,0.885
50683,2.604,-1.283,0.616
50788,2.49,-1.379,-0.004
50890,3.696,-1.944,-2.26
50993,5.07,-0.794,-1.342
51095,2.523,-1.0,-1.286
51200,4.357,-1.125,-1.291
51302,3.38,-1.13,-0.345
51405,0.225,-0.9,0.001
51507,0.512,-1.086,-0.316
51612,-0.162,-2.135,-2.742
51715,0.679,-0.756,-1.442
51817,0.383,-0.785,-1.15
51920,0.296,-1.599,-0.807
52027,1.714,-1.154,-0.536
52433,0.469,-0.521,0.336
52535,-0.684,-0.464,-2.2
52638,-1.494,1.738,-2.184
52742,4.108,-0.363,-0.899
52845,0.981,-2.327,-2.334
52947,3.007,-1.814,-1.159
53050,2.648,0.814,-0.806
53155,2.446,1.656,-0.232
53257,2.719,0.421,0.819
53360,1.158,-0.823,0.073
53462,1.719,-1.881,0.436
53567,1.479,-0.847,0.049
53669,1.786,-0.766,0.327
53772,1.489,-0.459,-0.074
53874,2.973,-2.949,0.563
53979,-0.474,-2.327,-0.149
54082,0.641,-2.001,-0.276
54184,0.584,-1.072,0.231
54287,0.296,-1.273,-0.164
54395,0.191,-1.455,-0.026
54707,0.354,-1.192,0.0
54809,0.354,-1.192,0.001
54912,0.349,-1.192,-0.001
55017,0.354,-1.187,-0.014
55119,0.349,-1.187,-0.017
55222,0.354,-1.197,-0.01
55324,0.354,-1.197,-0.003
55429,0.354,-1.173,-0.012
55531,0.354,-1.187,-0.005
55634,0.349,-1.187,-0.005
55736,0.339,-1.173,-0.009
55848,0.344,-1.187,-0.015
55959,0.344,-1.182,-0.005
56062,0.339,-1.182,-0.005
56164,0.344,-1.187,-0.013
56269,0.344,-1.173,-0.008
56372,0.349,-1.192,-0.007
56474,0.344,-1.187,-0.006
56577,0.344,-1.173,-0.006
56684,0.344,-1.182,-0.017
57008,0.354,-1.163,-0.02
57110,0.344,-1.177,-0.021
57213,0.335,-1.177,-0.014
57317,0.33,-1.173,-0.015
57420,0.335,-1.173,-0.018
57522,0.344,-1.168,-0.026
57625,0.325,-1.177,-0.02
57730,0.339,-1.163,-0.021
57832,0.335,-1.163,-0.036
57935,0.325,-1.192,-0.015
58037,0.325,-1.154,-0.036
58142,0.33,-1.168,-0.047
